Duplicate	3	Epoch	 20	 Train Accuracy	 0.4802	 Train AUC Score	 0.5058	 Test Accuracy: 0.4844	 test AUC Score	 0.4694	 unseen AUC Score	 0.4545
Duplicate	3	Epoch	 30	 Train Accuracy	 0.5112	 Train AUC Score	 0.5194	 Test Accuracy: 0.5031	 test AUC Score	 0.4646	 unseen AUC Score	 0.4647
Duplicate	3	Epoch	 40	 Train Accuracy	 0.4895	 Train AUC Score	 0.4625	 Test Accuracy: 0.4781	 test AUC Score	 0.4826	 unseen AUC Score	 0.4695
Duplicate	3	Epoch	 50	 Train Accuracy	 0.4849	 Train AUC Score	 0.4757	 Test Accuracy: 0.4813	 test AUC Score	 0.4746	 unseen AUC Score	 0.4625
Duplicate	3	Epoch	 60	 Train Accuracy	 0.4787	 Train AUC Score	 0.4749	 Test Accuracy: 0.4875	 test AUC Score	 0.4913	 unseen AUC Score	 0.4724
Duplicate	3	Epoch	 70	 Train Accuracy	 0.5268	 Train AUC Score	 0.5072	 Test Accuracy: 0.4719	 test AUC Score	 0.4963	 unseen AUC Score	 0.5103
Duplicate	3	Epoch	 80	 Train Accuracy	 0.4872	 Train AUC Score	 0.5069	 Test Accuracy: 0.4906	 test AUC Score	 0.4635	 unseen AUC Score	 0.5251
Duplicate	3	Epoch	 90	 Train Accuracy	 0.4841	 Train AUC Score	 0.4862	 Test Accuracy: 0.4781	 test AUC Score	 0.4550	 unseen AUC Score	 0.4307
Duplicate	3	Epoch	 100	 Train Accuracy	 0.4856	 Train AUC Score	 0.4967	 Test Accuracy: 0.4844	 test AUC Score	 0.4239	 unseen AUC Score	 0.4940
Duplicate	4	Epoch	 0	 Train Accuracy	 0.4848	 Train AUC Score	 0.4806	 Test Accuracy: 0.4907	 test AUC Score	 0.4566	 unseen AUC Score	 0.4463
Duplicate	4	Epoch	 10	 Train Accuracy	 0.4755	 Train AUC Score	 0.4540	 Test Accuracy: 0.4410	 test AUC Score	 0.4175	 unseen AUC Score	 0.4375
Duplicate	4	Epoch	 20	 Train Accuracy	 0.4841	 Train AUC Score	 0.4621	 Test Accuracy: 0.4845	 test AUC Score	 0.4628	 unseen AUC Score	 0.4664
Duplicate	4	Epoch	 30	 Train Accuracy	 0.5051	 Train AUC Score	 0.4542	 Test Accuracy: 0.5280	 test AUC Score	 0.4309	 unseen AUC Score	 0.4583
Duplicate	4	Epoch	 40	 Train Accuracy	 0.4949	 Train AUC Score	 0.5003	 Test Accuracy: 0.4938	 test AUC Score	 0.5358	 unseen AUC Score	 0.5360
Duplicate	4	Epoch	 50	 Train Accuracy	 0.4794	 Train AUC Score	 0.4780	 Test Accuracy: 0.4441	 test AUC Score	 0.4069	 unseen AUC Score	 0.4236
Duplicate	4	Epoch	 60	 Train Accuracy	 0.5074	 Train AUC Score	 0.5243	 Test Accuracy: 0.5311	 test AUC Score	 0.4344	 unseen AUC Score	 0.4452
Duplicate	4	Epoch	 70	 Train Accuracy	 0.4864	 Train AUC Score	 0.4269	 Test Accuracy: 0.4596	 test AUC Score	 0.4559	 unseen AUC Score	 0.4092
Duplicate	4	Epoch	 80	 Train Accuracy	 0.4942	 Train AUC Score	 0.5136	 Test Accuracy: 0.4689	 test AUC Score	 0.4854	 unseen AUC Score	 0.4846
Duplicate	4	Epoch	 90	 Train Accuracy	 0.5019	 Train AUC Score	 0.4831	 Test Accuracy: 0.5280	 test AUC Score	 0.4974	 unseen AUC Score	 0.4526
Duplicate	4	Epoch	 100	 Train Accuracy	 0.4887	 Train AUC Score	 0.4723	 Test Accuracy: 0.4689	 test AUC Score	 0.4582	 unseen AUC Score	 0.5320
