Working on networkadex.txt in Overlap_0.1_Ncube_2

Network	networkadex.txt Duplicate	0	Epoch	 80	 Train Accuracy	 0.4709	 Train AUC Score	 0.4632	 Test Accuracy: 0.2292	 test AUC Score	 0.2882	 unseen AUC Score	 0.2899
Network	networkadex.txt Duplicate	0	Epoch	 90	 Train Accuracy	 0.4180	 Train AUC Score	 0.5107	 Test Accuracy: 0.4167	 test AUC Score	 0.4323	 unseen AUC Score	 0.4306
Network	networkadex.txt Duplicate	0	Epoch	 100	 Train Accuracy	 0.6138	 Train AUC Score	 0.5495	 Test Accuracy: 0.5208	 test AUC Score	 0.4201	 unseen AUC Score	 0.4288

Working on networkadex.txt in Overlap_0.2_Ncube_5

Network	networkadex.txt Duplicate	0	Epoch	 0	 Train Accuracy	 0.5185	 Train AUC Score	 0.4158	 Test Accuracy: 0.6042	 test AUC Score	 0.5408	 unseen AUC Score	 0.5481
Network	networkadex.txt Duplicate	0	Epoch	 10	 Train Accuracy	 0.4550	 Train AUC Score	 0.4603	 Test Accuracy: 0.3333	 test AUC Score	 0.2686	 unseen AUC Score	 0.3085
Network	networkadex.txt Duplicate	0	Epoch	 20	 Train Accuracy	 0.4709	 Train AUC Score	 0.4757	 Test Accuracy: 0.3750	 test AUC Score	 0.2668	 unseen AUC Score	 0.2595
Network	networkadex.txt Duplicate	0	Epoch	 30	 Train Accuracy	 0.5026	 Train AUC Score	 0.5068	 Test Accuracy: 0.4583	 test AUC Score	 0.2414	 unseen AUC Score	 0.2269
Network	networkadex.txt Duplicate	0	Epoch	 40	 Train Accuracy	 0.5291	 Train AUC Score	 0.5122	 Test Accuracy: 0.5833	 test AUC Score	 0.2849	 unseen AUC Score	 0.3140
Network	networkadex.txt Duplicate	0	Epoch	 50	 Train Accuracy	 0.4603	 Train AUC Score	 0.4596	 Test Accuracy: 0.3958	 test AUC Score	 0.2559	 unseen AUC Score	 0.2414
Network	networkadex.txt Duplicate	0	Epoch	 60	 Train Accuracy	 0.4921	 Train AUC Score	 0.4678	 Test Accuracy: 0.4375	 test AUC Score	 0.2995	 unseen AUC Score	 0.2976
Network	networkadex.txt Duplicate	0	Epoch	 70	 Train Accuracy	 0.5344	 Train AUC Score	 0.5136	 Test Accuracy: 0.5000	 test AUC Score	 0.2722	 unseen AUC Score	 0.2777
Network	networkadex.txt Duplicate	0	Epoch	 80	 Train Accuracy	 0.4921	 Train AUC Score	 0.4644	 Test Accuracy: 0.6042	 test AUC Score	 0.5172	 unseen AUC Score	 0.5154
Network	networkadex.txt Duplicate	0	Epoch	 90	 Train Accuracy	 0.4233	 Train AUC Score	 0.4319	 Test Accuracy: 0.5417	 test AUC Score	 0.5426	 unseen AUC Score	 0.5390
Network	networkadex.txt Duplicate	0	Epoch	 100	 Train Accuracy	 0.5344	 Train AUC Score	 0.5058	 Test Accuracy: 0.5625	 test AUC Score	 0.3194	 unseen AUC Score	 0.3230

Working on networkadex.txt in Overlap_0.3_Ncube_2

Network	networkadex.txt Duplicate	0	Epoch	 0	 Train Accuracy	 0.5344	 Train AUC Score	 0.5017	 Test Accuracy: 0.5833	 test AUC Score	 0.5467	 unseen AUC Score	 0.5450
Network	networkadex.txt Duplicate	0	Epoch	 10	 Train Accuracy	 0.5979	 Train AUC Score	 0.4623	 Test Accuracy: 0.5625	 test AUC Score	 0.4497	 unseen AUC Score	 0.4885
