Duplicate	3	Epoch	 20	 Train Accuracy	 0.5078	 Train AUC Score	 0.4822	 Test Accuracy: 0.5186	 test AUC Score	 0.4445	 unseen AUC Score	 0.4445
Duplicate	3	Epoch	 30	 Train Accuracy	 0.5078	 Train AUC Score	 0.4835	 Test Accuracy: 0.5186	 test AUC Score	 0.4481	 unseen AUC Score	 0.4481
Duplicate	3	Epoch	 40	 Train Accuracy	 0.5078	 Train AUC Score	 0.4878	 Test Accuracy: 0.5186	 test AUC Score	 0.4511	 unseen AUC Score	 0.4511
Duplicate	3	Epoch	 50	 Train Accuracy	 0.5078	 Train AUC Score	 0.4823	 Test Accuracy: 0.5186	 test AUC Score	 0.4446	 unseen AUC Score	 0.4446
Duplicate	3	Epoch	 60	 Train Accuracy	 0.5078	 Train AUC Score	 0.4824	 Test Accuracy: 0.5186	 test AUC Score	 0.4442	 unseen AUC Score	 0.4442
Duplicate	3	Epoch	 70	 Train Accuracy	 0.5078	 Train AUC Score	 0.4822	 Test Accuracy: 0.5186	 test AUC Score	 0.4445	 unseen AUC Score	 0.4445
Duplicate	3	Epoch	 80	 Train Accuracy	 0.5078	 Train AUC Score	 0.4876	 Test Accuracy: 0.5186	 test AUC Score	 0.4511	 unseen AUC Score	 0.4511
Duplicate	3	Epoch	 90	 Train Accuracy	 0.5078	 Train AUC Score	 0.4878	 Test Accuracy: 0.5186	 test AUC Score	 0.4512	 unseen AUC Score	 0.4512
Duplicate	3	Epoch	 100	 Train Accuracy	 0.5078	 Train AUC Score	 0.4876	 Test Accuracy: 0.5186	 test AUC Score	 0.4512	 unseen AUC Score	 0.4512
Duplicate	4	Epoch	 0	 Train Accuracy	 0.5117	 Train AUC Score	 0.4602	 Test Accuracy: 0.5031	 test AUC Score	 0.5460	 unseen AUC Score	 0.5500
Duplicate	4	Epoch	 10	 Train Accuracy	 0.5117	 Train AUC Score	 0.4665	 Test Accuracy: 0.5031	 test AUC Score	 0.5505	 unseen AUC Score	 0.5505
Duplicate	4	Epoch	 20	 Train Accuracy	 0.5117	 Train AUC Score	 0.4661	 Test Accuracy: 0.5031	 test AUC Score	 0.5506	 unseen AUC Score	 0.5506
Duplicate	4	Epoch	 30	 Train Accuracy	 0.5117	 Train AUC Score	 0.4662	 Test Accuracy: 0.5031	 test AUC Score	 0.5502	 unseen AUC Score	 0.5502
Duplicate	4	Epoch	 40	 Train Accuracy	 0.5117	 Train AUC Score	 0.4727	 Test Accuracy: 0.5031	 test AUC Score	 0.5542	 unseen AUC Score	 0.5542
Duplicate	4	Epoch	 50	 Train Accuracy	 0.5117	 Train AUC Score	 0.4721	 Test Accuracy: 0.5031	 test AUC Score	 0.5541	 unseen AUC Score	 0.5541
Duplicate	4	Epoch	 60	 Train Accuracy	 0.5117	 Train AUC Score	 0.4722	 Test Accuracy: 0.5031	 test AUC Score	 0.5544	 unseen AUC Score	 0.5544
Duplicate	4	Epoch	 70	 Train Accuracy	 0.5117	 Train AUC Score	 0.4725	 Test Accuracy: 0.5031	 test AUC Score	 0.5541	 unseen AUC Score	 0.5541
Duplicate	4	Epoch	 80	 Train Accuracy	 0.5117	 Train AUC Score	 0.4723	 Test Accuracy: 0.5031	 test AUC Score	 0.5541	 unseen AUC Score	 0.5541
Duplicate	4	Epoch	 90	 Train Accuracy	 0.5117	 Train AUC Score	 0.4728	 Test Accuracy: 0.5031	 test AUC Score	 0.5546	 unseen AUC Score	 0.5546
Duplicate	4	Epoch	 100	 Train Accuracy	 0.5117	 Train AUC Score	 0.4659	 Test Accuracy: 0.5031	 test AUC Score	 0.5497	 unseen AUC Score	 0.5497
