Network,networkbancor.txt Duplicate,0,Epoch,10, Train Accuracy,0.4637, Train AUC Score,0.534, Test Accuracy: 0.4762, test AUC Score,0.4558, unseen AUC Score,0.5185
Network,networkbancor.txt Duplicate,0,Epoch,20, Train Accuracy,0.4476, Train AUC Score,0.4811, Test Accuracy: 0.4127, test AUC Score,0.3899, unseen AUC Score,0.4167
Network,networkbancor.txt Duplicate,0,Epoch,30, Train Accuracy,0.5, Train AUC Score,0.4499, Test Accuracy: 0.4286, test AUC Score,0.4053, unseen AUC Score,0.429
Network,networkbancor.txt Duplicate,0,Epoch,40, Train Accuracy,0.4556, Train AUC Score,0.479, Test Accuracy: 0.4444, test AUC Score,0.4578, unseen AUC Score,0.4321
Network,networkbancor.txt Duplicate,0,Epoch,50, Train Accuracy,0.5, Train AUC Score,0.5107, Test Accuracy: 0.4286, test AUC Score,0.4414, unseen AUC Score,0.4712
Network,networkbancor.txt Duplicate,0,Epoch,60, Train Accuracy,0.4476, Train AUC Score,0.5057, Test Accuracy: 0.4444, test AUC Score,0.4444, unseen AUC Score,0.4784
Network,networkbancor.txt Duplicate,0,Epoch,70, Train Accuracy,0.5242, Train AUC Score,0.5541, Test Accuracy: 0.4762, test AUC Score,0.4033, unseen AUC Score,0.4033
Network,networkbancor.txt Duplicate,0,Epoch,80, Train Accuracy,0.4879, Train AUC Score,0.5281, Test Accuracy: 0.4762, test AUC Score,0.4475, unseen AUC Score,0.4537
Network,networkbancor.txt Duplicate,0,Epoch,90, Train Accuracy,0.496, Train AUC Score,0.4285, Test Accuracy: 0.4286, test AUC Score,0.4167, unseen AUC Score,0.3621
Network,networkbancor.txt Duplicate,0,Epoch,100, Train Accuracy,0.4556, Train AUC Score,0.4642, Test Accuracy: 0.3968, test AUC Score,0.4475, unseen AUC Score,0.4239
Network,networkiconomi.txt Duplicate,0,Epoch,0, Train Accuracy,0.4971, Train AUC Score,0.3992, Test Accuracy: 0.5341, test AUC Score,0.4182, unseen AUC Score,0.4204
Network,networkiconomi.txt Duplicate,0,Epoch,10, Train Accuracy,0.4425, Train AUC Score,0.5492, Test Accuracy: 0.4659, test AUC Score,0.4981, unseen AUC Score,0.5399
Network,networkiconomi.txt Duplicate,0,Epoch,20, Train Accuracy,0.4914, Train AUC Score,0.452, Test Accuracy: 0.3750, test AUC Score,0.438, unseen AUC Score,0.4733
Network,networkiconomi.txt Duplicate,0,Epoch,30, Train Accuracy,0.5029, Train AUC Score,0.4439, Test Accuracy: 0.5114, test AUC Score,0.4771, unseen AUC Score,0.5063
Network,networkiconomi.txt Duplicate,0,Epoch,40, Train Accuracy,0.4914, Train AUC Score,0.4373, Test Accuracy: 0.5341, test AUC Score,0.4937, unseen AUC Score,0.4678
Network,networkiconomi.txt Duplicate,0,Epoch,50, Train Accuracy,0.4339, Train AUC Score,0.3913, Test Accuracy: 0.3636, test AUC Score,0.4424, unseen AUC Score,0.4402
Network,networkiconomi.txt Duplicate,0,Epoch,60, Train Accuracy,0.4282, Train AUC Score,0.4125, Test Accuracy: 0.3636, test AUC Score,0.3669, unseen AUC Score,0.4209
Network,networkiconomi.txt Duplicate,0,Epoch,70, Train Accuracy,0.4397, Train AUC Score,0.4246, Test Accuracy: 0.3750, test AUC Score,0.4215, unseen AUC Score,0.3972
Network,networkiconomi.txt Duplicate,0,Epoch,80, Train Accuracy,0.3994, Train AUC Score,0.3862, Test Accuracy: 0.3977, test AUC Score,0.4804, unseen AUC Score,0.459
Network,networkiconomi.txt Duplicate,0,Epoch,90, Train Accuracy,0.4339, Train AUC Score,0.4105, Test Accuracy: 0.3523, test AUC Score,0.4331, unseen AUC Score,0.4198
Network,networkiconomi.txt Duplicate,0,Epoch,100, Train Accuracy,0.4109, Train AUC Score,0.3953, Test Accuracy: 0.3523, test AUC Score,0.4898, unseen AUC Score,0.4843
Network,networkaragon.txt Duplicate,0,Epoch,0, Train Accuracy,0.4817, Train AUC Score,0.359, Test Accuracy: 0.4583, test AUC Score,0.5191, unseen AUC Score,0.474
Network,networkaragon.txt Duplicate,0,Epoch,10, Train Accuracy,0.555, Train AUC Score,0.5031, Test Accuracy: 0.5833, test AUC Score,0.658, unseen AUC Score,0.6597
Network,networkaragon.txt Duplicate,0,Epoch,20, Train Accuracy,0.5131, Train AUC Score,0.461, Test Accuracy: 0.6667, test AUC Score,0.6823, unseen AUC Score,0.6771
Network,networkaragon.txt Duplicate,0,Epoch,30, Train Accuracy,0.5602, Train AUC Score,0.4879, Test Accuracy: 0.6667, test AUC Score,0.7049, unseen AUC Score,0.7049
Network,networkaragon.txt Duplicate,0,Epoch,40, Train Accuracy,0.534, Train AUC Score,0.544, Test Accuracy: 0.7083, test AUC Score,0.6997, unseen AUC Score,0.7031
