
Network	networkadex.txt	Duplicate	2	Epoch	20	Train Accuracy	0.4530	Train AUC Score	0.4524	Test Accuracy:0.4746	Test AUC Score	0.4167	unseen AUC Score	0.3519	Number of Zero labels	170	Number of one labels	123
Network	networkadex.txt	Duplicate	2	Epoch	30	Train Accuracy	0.4915	Train AUC Score	0.4771	Test Accuracy:0.4915	Test AUC Score	0.4306	unseen AUC Score	0.4595	Number of Zero labels	170	Number of one labels	123
Network	networkadex.txt	Duplicate	2	Epoch	40	Train Accuracy	0.5043	Train AUC Score	0.4179	Test Accuracy:0.5254	Test AUC Score	0.5231	unseen AUC Score	0.4329	Number of Zero labels	170	Number of one labels	123
Network	networkadex.txt	Duplicate	2	Epoch	50	Train Accuracy	0.5342	Train AUC Score	0.5030	Test Accuracy:0.5254	Test AUC Score	0.5694	unseen AUC Score	0.5451	Number of Zero labels	170	Number of one labels	123
Network	networkadex.txt	Duplicate	2	Epoch	60	Train Accuracy	0.5897	Train AUC Score	0.5540	Test Accuracy:0.5424	Test AUC Score	0.6586	unseen AUC Score	0.7280	Number of Zero labels	170	Number of one labels	123
Network	networkadex.txt	Duplicate	2	Epoch	70	Train Accuracy	0.4103	Train AUC Score	0.3697	Test Accuracy:0.4915	Test AUC Score	0.4201	unseen AUC Score	0.4248	Number of Zero labels	170	Number of one labels	123
Network	networkadex.txt	Duplicate	2	Epoch	80	Train Accuracy	0.5769	Train AUC Score	0.5728	Test Accuracy:0.5254	Test AUC Score	0.4653	unseen AUC Score	0.4884	Number of Zero labels	170	Number of one labels	123
Network	networkadex.txt	Duplicate	2	Epoch	90	Train Accuracy	0.4829	Train AUC Score	0.4681	Test Accuracy:0.5254	Test AUC Score	0.4711	unseen AUC Score	0.4259	Number of Zero labels	170	Number of one labels	123
Network	networkadex.txt	Duplicate	2	Epoch	100	Train Accuracy	0.5897	Train AUC Score	0.6566	Test Accuracy:0.5424	Test AUC Score	0.6597	unseen AUC Score	0.6910	Number of Zero labels	170	Number of one labels	123
Network	networkadex.txt	Duplicate	3	Epoch	0	Train Accuracy	0.5812	Train AUC Score	0.4236	Test Accuracy:0.5424	Test AUC Score	0.4977	unseen AUC Score	0.3715	Number of Zero labels	170	Number of one labels	123
Network	networkadex.txt	Duplicate	3	Epoch	10	Train Accuracy	0.4103	Train AUC Score	0.5751	Test Accuracy:0.4576	Test AUC Score	0.4977	unseen AUC Score	0.4815	Number of Zero labels	170	Number of one labels	123
Network	networkadex.txt	Duplicate	3	Epoch	20	Train Accuracy	0.5855	Train AUC Score	0.5990	Test Accuracy:0.5593	Test AUC Score	0.5324	unseen AUC Score	0.5081	Number of Zero labels	170	Number of one labels	123
Network	networkadex.txt	Duplicate	3	Epoch	30	Train Accuracy	0.4359	Train AUC Score	0.6010	Test Accuracy:0.4915	Test AUC Score	0.6157	unseen AUC Score	0.4965	Number of Zero labels	170	Number of one labels	123
Network	networkadex.txt	Duplicate	3	Epoch	40	Train Accuracy	0.4487	Train AUC Score	0.5596	Test Accuracy:0.4576	Test AUC Score	0.5162	unseen AUC Score	0.5451	Number of Zero labels	170	Number of one labels	123
Network	networkadex.txt	Duplicate	3	Epoch	50	Train Accuracy	0.4103	Train AUC Score	0.4955	Test Accuracy:0.4576	Test AUC Score	0.4815	unseen AUC Score	0.5359	Number of Zero labels	170	Number of one labels	123
Network	networkadex.txt	Duplicate	3	Epoch	60	Train Accuracy	0.5983	Train AUC Score	0.6569	Test Accuracy:0.5593	Test AUC Score	0.5822	unseen AUC Score	0.5868	Number of Zero labels	170	Number of one labels	123
Network	networkadex.txt	Duplicate	3	Epoch	70	Train Accuracy	0.5726	Train AUC Score	0.5669	Test Accuracy:0.5593	Test AUC Score	0.5475	unseen AUC Score	0.5162	Number of Zero labels	170	Number of one labels	123
