Duplicate	3,Epoch	 90	 Train Accuracy	 0.5000	 Train AUC Score: 0.4848	 Test Accuracy: 0.4503	 Test AUC Score: 0.4636
Duplicate	3,Epoch	 100	 Train Accuracy	 0.5000	 Train AUC Score: 0.5289	 Test Accuracy: 0.5497	 Test AUC Score: 0.4688
Duplicate	4,Epoch	 0	 Train Accuracy	 0.5000	 Train AUC Score: 0.5024	 Test Accuracy: 0.4503	 Test AUC Score: 0.5037
Duplicate	4,Epoch	 10	 Train Accuracy	 0.5000	 Train AUC Score: 0.5116	 Test Accuracy: 0.4503	 Test AUC Score: 0.5792
Duplicate	4,Epoch	 20	 Train Accuracy	 0.5000	 Train AUC Score: 0.5228	 Test Accuracy: 0.5497	 Test AUC Score: 0.5339
Duplicate	4,Epoch	 30	 Train Accuracy	 0.5000	 Train AUC Score: 0.5116	 Test Accuracy: 0.4503	 Test AUC Score: 0.4213
Duplicate	4,Epoch	 40	 Train Accuracy	 0.5000	 Train AUC Score: 0.4928	 Test Accuracy: 0.4503	 Test AUC Score: 0.4722
Duplicate	4,Epoch	 50	 Train Accuracy	 0.5000	 Train AUC Score: 0.5247	 Test Accuracy: 0.4503	 Test AUC Score: 0.5827
Duplicate	4,Epoch	 60	 Train Accuracy	 0.5000	 Train AUC Score: 0.4781	 Test Accuracy: 0.5497	 Test AUC Score: 0.4485
Duplicate	4,Epoch	 70	 Train Accuracy	 0.5000	 Train AUC Score: 0.4803	 Test Accuracy: 0.4503	 Test AUC Score: 0.5085
Duplicate	4,Epoch	 80	 Train Accuracy	 0.5000	 Train AUC Score: 0.5034	 Test Accuracy: 0.4503	 Test AUC Score: 0.4259
Duplicate	4,Epoch	 90	 Train Accuracy	 0.5000	 Train AUC Score: 0.4848	 Test Accuracy: 0.4503	 Test AUC Score: 0.4636
Duplicate	4,Epoch	 100	 Train Accuracy	 0.5000	 Train AUC Score: 0.5289	 Test Accuracy: 0.5497	 Test AUC Score: 0.4688
